Name,Uid,Gid
olivpeti,1247,5001
alexklim,1248,5001
adriguir,1249,5000
etiegarc,1250,5002
marimaen,1223,5002
jeanthor,1251,5002
ayoutoui,1252,5002
leoxmezi,1253,5002
leoxmezo,1254,5002
sergblum,1255,5000
guildeni,1256,5002
etiedesc,1257,5002
maribert,1258,5002
brahabbe,1259,5001
pavecure,1260,5002
cyrivuil,1261,5000
nicolhui,1262,5000
vincphil,1263,5002
michboul,1264,5000
ftpsideral,1265,1011
ericrena,1266,5001
djamelya,1267,10
jerelesu,1268,5002
victlucq,1269,5002
mbenadja,1270,5002
geofsena,1271,5002
valeboro,1273,5001
itesla,1274,4019
paulgamb,1275,5000
cyrigisb,1276,5000
hervducl,1277,5000
chriyang,1278,5000
fikrhafi,1279,5000
jalazawa,1280,5000
camipach,1281,5000
nathgris,1282,5000
florsimo,1283,5001
sophsurm,1284,5001
pengwang,1285,5000
jeropica,1286,5000
arnacour,1287,5001
ftprstn,1288,1011
silomire,1289,5002
louisomm,1290,5002
papandia,1291,5001
doribret,1292,5002
guilpier,1293,5001
nicomore,1294,5001
annetill,1295,5000
ftpcdp,1296,1011
tensinc,1297,5002
jasmsali,1298,5002
marcschu,1299,5002
sarafara,1300,5002
yuchmaxx,1301,5002
benogaud,1302,5002
anasmakt,1303,5002
hamzbenn,1304,5002
xiaozhan,1305,5002
nicocout,1306,5002
nicoandr,1307,5002
mmoufame,1308,5002
nicoribe,1309,5002
mehdsaid,1310,5002
mathbong,1311,5002
violberg,1312,5002
coripoid,1313,5001
antomaro,1314,5000
florpeti,1315,5002
mehdalao,1316,5002
guilvand,1317,10
thibvand,1318,5002
florfarg,1319,10
camischw,1320,5002
pierstev,1321,5000
marisaug,1322,5000
dynamo,1323,4016
abdebeno,1324,5001
alesdlal,1325,5001
yacichao,1326,10
beatfaur,1327,5000
mohahamd,1328,5001
benjdonn,1329,5002
leoxjean,1331,5001
dutoalai,1330,5000
alaiduto,1272,5001
maxidufo,1332,5002
nicogror,1333,5002
baptsegu,1334,5000
lixxbaoj,1335,5002
thiedell,1336,5000
mattmart,1337,5001
julimurg,1338,5002
davibind,1339,5001
fredbrea,1340,5000
franefer,1341,5000
dahahart,1342,5002
valeprin,1343,5002
apogee,1344,4020
antorayn,1345,5001
